,Review,Date,Opinion,Year
138,Good Customer Service - clear explanation and actions.  Very pleasant person and most helpful.,2022-09-27,POSITIVE,2022
139,All queries were answered well and no problems were encountered would recommend Valda.,2022-10-06,POSITIVE,2022
140,good customer services and quick on sorting problems,2022-12-07,POSITIVE,2022
141,I have very good experience. I would definitely recommend and contact again whenever needed,2022-09-08,POSITIVE,2022
142,Good to get the corrected reading fixed immediately.  Shame it was so far out in the estimate.,2022-08-22,NEGATIVE,2022
143,"Timeless , kinds , clearly full what I wanted get Best services",2022-11-17,POSITIVE,2022
144,Despite numerous contacts the company won’t accept that I don’t have a gas meter,2022-10-06,NEGATIVE,2022
145,Not happy at all ..Usually my bill is £60 to £65 You charge me £280 something,2022-10-03,NEGATIVE,2022
146,"Great customer service once you get through, long wait for call to be answered",2022-12-23,POSITIVE,2022
147,The advisor was lovely. Explained things in great detail.,2022-10-03,POSITIVE,2022
148,The lady I dealt with helped me reconnect with my account and was very patient,2022-11-16,POSITIVE,2022
149,"Emily was very interested in customer service, and it was very appreciated",2022-12-09,POSITIVE,2022
150,So helpful and pleasant on the phone - really lovely,2022-08-22,POSITIVE,2022
151,"Good service, very polite and helpfull",2022-09-13,POSITIVE,2022
152,very helpful in getting our account affairs in order,2022-11-18,POSITIVE,2022
153,Great helpful customer service.,2022-12-13,POSITIVE,2022
154,The customer service member of staff was very very helpful.,2022-12-09,POSITIVE,2022
155,"Very pleasant young lady, extremely informative.",2022-11-15,POSITIVE,2022
156,I’ve been happy with prices and call backs . Never had issues,2022-12-15,POSITIVE,2022
157,"The lady I spoke with was excellent, extremely helpful💋",2022-10-21,POSITIVE,2022
158,"Good communication: efficient, pleasant and direct",2022-11-01,POSITIVE,2022
159,Good customer service so far. Tanya very helpful.,2022-10-20,POSITIVE,2022
160,Absolutely first class customer service from Tom,2022-10-27,POSITIVE,2022
161,"Very helpful,polite, professional customer service",2022-10-28,POSITIVE,2022
163,"Where do I even begin. I brought a cafe and the previous tenants were using Valda as their energy provider, I thought to keep things easy it would be best to stick with Valda(even though I had never heard of them, and the majority of people I’ve spoken to also haven’t). It happened to be the biggest mistake in my life. They took advantage of my naivety and I rushed into a two year contract at 82p/kw in these very uncertain times we currently live in. Valda charged me over a whopping £5000 in my first month for electricity where the previous tenants were paying roughly £700. We agreed to split that bill(will be important later on in my review)into weekly instalments which made it easier to pay. The customer service operatives do not have the power to do much so it is literally pointless speaking to them. I have asked to speak to managers and they always seem to be “out of office”. Fast forward to the gov energy relief scheme they told me both my unit rate for electricity and gas will definitely be reduced from the 1st October when the scheme begins. It is now almost December, 3 months from the introduction of the scheme and I am still being charged the same unit rate for my electricity. After many pointless attempts to get someone to explain why this has happened I was told “The reason it has not yet been added to your account is due to the adjustment we had on your billing, whilst this was getting resolved we were unable to add any new discounts onto your account.” If you’re unable to add new discounts on my account (which is a blatant lie, it’s a legal requirement for vulnerable businesses who entered into new contracts since December 2021) why was my gas discounted?And what does the adjustment(the first bill which we agreed to split into weekly installments) have anytning to to do with following bills?I requested to speak to a manager but surprise surprise they are “out of office” . I am still waiting for my electricity unit rate to be reduced as a result of the relief scheme. PLEASE STAY WELL AWAY FROM VALDA, THEY ARE THEIVING BA****DS. Every company has already began using  the relief scheme but Valda hasn’t. Worst experience with a company ever. MINUS 5 STARS",2022-10-09,NEGATIVE,2022
164,"Sorted out my log in problem very quickly, thank you!",2022-11-28,POSITIVE,2022
165,I was called back on my mob n my Question was answered well,2022-09-27,POSITIVE,2022
166,"Signed up for Valda Energy through bionic. The energy contract was set up on the wrong meter due to a geo location/tagging issue which sometimes happens. I informed valda of the situation in writing and over the phone and they told me they’d put my account on hold whilst the situation resolved. They then proceeded to debit my account almost immediately for approx £1400 for the incorrect meter. After going through numerous steps and conversations again to confirm the situation they agreed it was an incorrect meter and issued the refund. Around 2 months later it still hasn’t been received. The sheer incompetence of the customer support team begs belief. Constantly receive different answers, different time frames, contradicting information. My guess is that they are struggling financially and need to hold on to refunds etc for their own cash flow. I would avoid this company at all costs and go with a bigger supplier due to the energy crisis. A lot of smaller firms are being wiped out and wouldn’t surprise me if Valda were to go soon given they need to hold on to such small amounts for such a long time. Whilst the £1400 isn’t a lot, the principle of them taking the money from my account when they said it was on hold, then messing me about for months with the refund, and then still not having paid the refund. It’s a bit of a joke. Used SSE for my previous properties and whilst it’s difficult to love any energy company, at least they’re big and won’t go under and also respond to queries in a timely manner. One of the biggest mistakes and time drains I’ve made going with Valda energy. Heed the advice of this review and avoid at all costs!",2022-08-21,NEGATIVE,2022
167,Very helpful when phoned with an issue with billing,2022-08-10,POSITIVE,2022
168,"Don't ever go with Valda. It's been a year of stress. They're just thieves with a legal status. Everything was fine, until they installed their smart meter. My bills went from between £50 - £200 a month (more in winter than  summer) to over £1800 in 1 month! They claimed my consumption had gone up that much! I didn't even pay that much in 18 months prior to that in total. I would have to be running every electrical item I own for 13 hours a day every day to use this much electric. After this, my VAT went from 5% to 20% & climate change levvy was added to every bill.I've tried to resolve the issue for over a year. They keep threatening disconnection if I don't pay the outstanding amount. I've spoken to tons of people for hours, I've emailed endlessly, I've written to the ombudsman. The replies I get are that the due amount was ""reconciliation"" from before the smart meter was installed. Or that my consumption must have gone up that much in one month! We used our electricity as normal & the business was in fact closed for 2 weeks over the Christmas break, so if anything our consumption should have been less. I've had an electrician in to check my electrical items are working fine which they are, I've had someone in to check the meter was installed properly which it is. In trying to resolve the issue, I've been given so many different amounts that I owe, ranging from £1800 to over £3000, from the same company at the same time. It seems they just pluck figures from the air to charge you random amounts. They took the money from my account, which I had to recall from the bank. They took the money from my card, which I then had to block. I have continued to pay my normal consumption charges, but refuse to pay the stupid bill from when they changed to their smart meter, the 20% vat & climate change levvy (this is only added when your electric consumption is over a certain amount). The issue is still ongoing with the ombudsman. Go with another company. Don't sign with Valda.",2022-08-26,NEGATIVE,2022
169,Scam and worse than the worse AVOID,2022-10-10,NEGATIVE,2022
170,Very helpful in resolving my issue - many thanks,2022-10-25,POSITIVE,2022
171,Very helpful guy called dean totally amazing,2022-08-12,POSITIVE,2022
172,"This has got to be THE worst business electric company in the world, signed up for a 3 year contract (very much regret doing this now) from day one of the contract they have been very consistant at getting the billing wrong, the latest one in a long line of mistakes by them is a £3,000 bill (I just paid over £1k a week ago) because they have rebilled the entire period of usage and is due in 10 days or they will disconnect the power to my aquatic pet shop putting the lives of my stock at risk all because they billed wrong, they makes the mistakes and expect you to cover it. DO NOT SIGN ANY CONTACT WITH THESE COWBOYS YOU WILL END UP REGRETTING IT, Go with British gas lite I never had any problems with them.RESPONSE TO REPLY FROM VALDA1. we are not talking about an initial delay, we are talking about repeated and continus credit and rebilling the latest 10 days after I paid what I was told I owed2. ""you encourage customers to pay for their actual usage"" I have paid all bills for usage presented by your company on time and in full, however expecting me to pay a 2nd bill within 10 days because you made mistakes is unreasonable, and to then threaten cut off because of your mistake is down right unbelievable. 3. I was advised by your customers service as I'm a commercial customer you don't have to do anything and expect payment within 10 days all this a week after I have paid my last bill, your company has a lot to learn about customer relations, accepting when you have made the error and compromising to help reach a resolution.Your surgestion on saving money is just erroneous the issue is not my ability to save on my bills, it's yours on how and when you present your bills and more over your payment demands on extra bills for usage you just found out was used over a 6 months period but want paying for now. I would love to brake this contract I bet delboy would be a better supplier than yourselves.4. Your offer to setup a 'reasonable payment plan' us a joke I've spoken to your collections team before leaving the review the offer is to pay over 4 weeks as a maximum period not reasonable at all. HEED THIS REVIEW AVOID THESE CLOWNS AT ALL COSTS.",2022-11-24,NEGATIVE,2022
173,Very Very nice talk,2022-08-16,POSITIVE,2022
174,Bill dispute resolved,2022-11-16,NEGATIVE,2022
175,//////////////////,2022-10-05,NEGATIVE,2022
176,Good thank you,2022-08-17,POSITIVE,2022
177,"Bad bad bad... Keep taking money from businesses, claiming they keep you in credit, effecting cash flow.. Dishonest company shame on you...",2022-08-06,NEGATIVE,2022
178,Took possession of property yesterday. Had a million calls from agents.signed with valda via 3rd party.Got worried from reviews.mind put to rest by valda.so far so good.time will tell.btw.its important to continuously send meter reading until.smart meter put in place to avoid big estimated bills.dont be lazy and all should be fine.once again a big big thank you to customer service for answering  call and putting my mind at rest.,2022-08-04,POSITIVE,2022
179,There was a mixup in taking over an account. I contacted customer service who were courteous and efficient. After I sent them a photo of my meter they verified the mistake and stopped the take over.,2022-08-04,NEGATIVE,2022
180,"Telephoned regarding meter reading, all sorted very quickly and easily and the call centre person was extremely helpful",2022-08-03,POSITIVE,2022
181,"we have an account with Valda,They randomly try and take large amounts of money. we have paid twice on a credit card manually for our monthly payments, otherwise they try and take £1000.00 per month?????They have now without consent taken funds off our credit card. This company is by far the worst company EVER!!!! DO NOT TRUST",2022-08-03,NEGATIVE,2022
182,"I am at risk of losing my business due to valda energy. They charge me anything from 150 to 500 per month, this month its £2,700 20% vat £500. I ring, email and request livechat on the app and I get no response for days during in opening times. Then finally I get told its cause I'm due a new smart meter and guess what no one is available to install one until end of October. This is sole destroying. My business survived covid but not valda energy.",2022-08-02,NEGATIVE,2022
183,"Disshonest, unlawful, and useless. An absolute disgrace of a company. They have conned us into a 3 year tarriff that is over priced.We signed up with EDF. 2 days later we get a call from 'EDF' who can't complete the switch (our meter has been de-energized apparently), but, 'don't worry, I will send an urgent e-mail to a company that can find you a supplier so you're not on the out of contract tariff for too long.' 30 mins later we get call from someone who basically says the only company that deals with 'de energized' meters is Valda. It's made out like that is our only option so we proceed. The next day, getting suspicious I call EDF. They have not called us, there are no issues with the switch.A week later and Valda have taken over, they put the request in before EDF as they give no cooling off period for business accounts.They don't care we were scammed, it's not their fault and not their problem, we are under contract and that is the end of it as far as they are concerned.Honestly, I don't wish bad on anyone but I hope this company goes bust and all their disshonest staff get conned too. If this is how youre trained to opperate I would double check my pension if I worked for this company.",2022-07-30,NEGATIVE,2022
184,"Nicola phoned me to arrange set up new account.She was very friendly and professional, and all the information given, was easy to understand.An excellent start to ourrelationship with Valda Energy",2022-07-29,POSITIVE,2022
185,"Dishonest company with misleading sales tactics and high prices.Please be wary of this company, they use unlawful sales tactics via agents to trick customers into thinking they are calling from their current provider whoever that might be.The above has happened to us, and the company has shown very little compassion or understanding towards our situationThis has totally wrecked and taken the excitement out of opening up a new business for us by being held in an uncompetitive deal.Talking to Valda the response times are slow and as listed about little to no understanding extended. I would 100% suggest you do not use this company, or any of their dishonest, agents.We are having to seek legal advice.Addition: Irrespective of their seemingly ‘willing’ reply below, don’t be fooled. After been reached out to by an Operations Director I am still awaiting a call and there is no absolutely no progress with my original request or complaint. In addition to awaiting their call, I have attempted calling them but after hearing been 15th in the queue, I didn’t have even more time to waste on this abysmal company.",2022-07-25,NEGATIVE,2022
186,Amazing! So helpful!,2022-07-25,POSITIVE,2022
187,"The majority of the staff are very knowledgeable ans helpful, occasionally there is a glitch therefore as a customer you must keep a note of all interactions.",2022-07-22,POSITIVE,2022
188,"Heidi, Daisy & Antoinette always go above and beyond in helping me. great team thanks for the help!",2022-07-21,POSITIVE,2022
189,Had taken months to sort out account as wrong account set up with wrong meter details as neighbour had put me on call to transferime her put was only going to do if it went through smoothly with neighbour which it didn't as sent massages of cancellation as couldn't change over and reset up in other account details so asked for refund if couldn't get transferred and put wrong meter readings for me,2022-07-21,NEGATIVE,2022
190,"Olivia Jupp contacted me to let me know I can get a better deal for energy use with a contract. Of course the potential here was for a lot of hard sell chat, but I had the impression that she was equally concerned for Valda customers benefit. I could have stopped the conversation and shopped around with the figures she gave me, but her tone was pleasant and measured - not pushy or trying to be elusive with terms of the new contract. I was left feeling that Valda is a good company to be with",2022-07-20,POSITIVE,2022
191,F service and customer service daylight robbery because I’m still waiting to refund my money sitting in the account longtime,2022-07-19,NEGATIVE,2022
192,"Absolutely disgusting customer service, Iv rung to make a complaint and every time I give my account number they hang up, Iv gone to the energy ombudsman, Trying to charge me nearly £3000 for 10weeks electric in a 1 small room shopYou leave a reply saying contact us and everytime I give my account number you hang up!",2022-07-17,NEGATIVE,2022
193,We recently moved to Valda Energy Business and Abbie made the whole process go smoothly. An error on the first invoice was quickly resolved by Abbie who offered fantastic customer service and was very prompt in her actions. Thankyou!,2022-07-15,POSITIVE,2022
194,I spoke to Antoinette earlier in regards to a problem on the account and she fixed it straight away. She's always helpful and will always go above and beyond to help,2022-07-15,POSITIVE,2022
195,"Heidi at Valda is always helpful and a pleasure to talk to, she's always there to help when needed. Heidi is a STAR :) :) :)",2022-07-15,POSITIVE,2022
196,"heidi was really helpful today, many thanks",2022-07-15,POSITIVE,2022
197,"Daisy has given excellent service today, fast and accurate response. Very well donePaul",2022-07-15,POSITIVE,2022
198,Just off the phone to Tom at Valda Energy. Tom made a very complicated problem for ourselves very easy.Cant thank him enough for his help.please send on our thanks to Tom and the team.,2022-07-15,POSITIVE,2022
199,"Agent Daisy was efficient in correcting some address errors; dealing with Valda has always been easy and efficient, thanks.",2022-07-15,POSITIVE,2022
200,"Recently moved into a business premises and needed to change the electricity account. I was contacted by Olivia Jupp who was extremely helpful and proactive in finding me a good rate to move onto, and helping me do this. She made it a really easy process, Thankyou so much!",2022-07-15,POSITIVE,2022
201,The worst company! Bad costumer service! High pricea,2022-07-14,NEGATIVE,2022
202,"Super company with excellent staff- in particular Heidi, Daisy and Antoinette, keep up the good work girls.",2022-07-14,POSITIVE,2022
203,Heidi over at valda was a fantastic help and a credit to the company. keep up the good work :),2022-07-14,POSITIVE,2022
204,Daisy is always very helpful and lovely to speak to!Thank you Daisy,2022-07-14,POSITIVE,2022
205,"I spoke with Olivia who made setting up a new account really easy. She has been so helpful and patient, I'm glad I changed my supplier to Valda Energy.",2022-07-13,POSITIVE,2022
206,Heidi was very helpful and explained everything clearly.,2022-07-13,POSITIVE,2022
207,I always find Heidi goes above and beyond with any query. She's a pleasure to speak with :),2022-07-13,POSITIVE,2022
208,I needed some information regarding quotes for a business and i spoke to Heidi who was super quick to answer my questions and steered me in the right direction with my questions.,2022-07-12,POSITIVE,2022
209,Account number: 188607Kept telling them I do not want to switch to them and that the electric is on my landlords name!! Now I got an email to say they are taking over soon. I have been touch with ofgem and did an official complaint also how can they take over an electric company that is under my landlords name I have also informed them I am not a limited business my company has been strike off  but they don’t seem listen to me.  I will not let you switch over !!,2022-07-12,NEGATIVE,2022
210,"Unfortunately, Don't seem to listen to their customers. Despite being calm and collected, when important question were asked all that happened was a disappointing ""Grunt"" from the customer service representative. No follow up or attention to the issues at hand. Not sure we will be staying with Valda.",2022-07-12,NEGATIVE,2022
211,Daisy always goes above and beyond whenever I speak to her on Live Chat,2022-07-11,POSITIVE,2022
212,"Our normal energy spend is £300 a year for communal area in a small block of flats.  Within three months they'd taken over £900 from our account after we changed over to them in October 21 because 'we didn't have a smart meter'  Eventually they fitted one.  Our account is still over £900 in credit and they are not refunding us despite agreeing to with the ombudsman.  Just about to escalate the complaint.  Customer service atrociousUpdateAs we have exchanged upteem emails and phone calls with Valda customer service, their comment is inappropriate.  However we have now received our refund and everything is working well.  Thank you Valda. If you are thinking of joining Valda, make sure you have plenty of monthly meter reading to give them, that they install your smart meter immediately when you switch, and if they take too much money, cancel your debit card or direct debit straight away.",2022-07-11,NEGATIVE,2022
213,"We've been with Valda since start of 2022 and have had a mixed experience.  The initial consumption was massively overestimated despite us having a smart meter which the previous supplier could access accurately which resulted in a massive overclaim via dd, which was as much as 6 months consumption.  For a charity this was a big shock, so I cancelled the dd and went to a credit payment.  Eventually, after giving regular readings and sending photos, they agreed that something wasn't right and we got a credit back. However, I have to supply at least 3 readings a week on the on-line portal or the default goes back to the erroneous anticipated consumption.  Valda then took a card payment without my permission which has put us in credit and still 1 month after the payment was taken, we are more than £1k in credit which equates to 66 days useage.As with all utilities it's hard to get through on the phone, but if you get the right person they will sort it out for you.Jury is still out on if we'll renew in 2023.",2022-07-09,NEGATIVE,2022
214,"Used Live Chat to chat with Lizz Morgan of Valda.  The online system was not accepting my REAL readings updates - leading to incorrect amounts being taken based on Estimated readings over the last few months.  Lizz sorted this out within 15 minutes and emailed me back on my updated account status.  Problem completely solved. Lizz listened to my description of the problems, was polite and professional and actioned the issue promptly. 10/10 to Lizz !!   Some reviewers describe their problems dealing with Valda ( and other companies too ) BUT if you approach such a company in a structured, reasonable manner all the issues can be easily fixed. Just get screen copies and use emails so you have a record.  Valda seem fairly simple to deal with - just chat to them and be clear, and polite.",2022-07-08,NEGATIVE,2022
215,Abbie was super helpful and efficient. She resolved the matter quickly. Thank you for your swift reply.,2022-07-08,POSITIVE,2022
216,"Despite some initial problems. Once I found the correct person in the customer services team (Lizz), all my issues were made to go away. I now hope that a long and fruitful business relationship will ensue! Thank you Lizz.",2022-07-07,POSITIVE,2022
217,"I have had a difficult experience switching to Valda Energy from an inherited provider at my new commercial premises through no fault of Valda Energy. Pre-Live Administrator Abbie has guided me through this process and I cannot express how helpful and insightful she has been. She is an asset to your company. Her patience, quick responses, and concise clear instructions have been incredibly helpful. It has been such a relief to have her assist me through the process. I cannot thank her enough. She has set a high bar for others.",2022-07-07,POSITIVE,2022
218,Daisy was fast and effective couldn't ask for better service,2022-07-07,POSITIVE,2022
219,Always a help,2022-07-07,POSITIVE,2022
220,"I was assisted by Courtney she was charming well mannered and very helpful a delight to speak to. And a credit to Valda energy, not only was she articulate but got straight to the problem",2022-07-06,POSITIVE,2022
221,"Spoke with Heidi, very polite and easy to deal with. Answered all of my questions efficiently. Gave clear instructions which has certainly made my life easier!",2022-07-06,POSITIVE,2022
222,We liked the online access to invoices and other documents and we also appreciated the tariff with no standing charge which suited us very well. Responses to queries were quite slow and we are still awaiting a refund for the overpayments that we have made in spite of many requests,2022-07-05,NEGATIVE,2022
223,Great service by valda and Rochelle was very helpful with solving my questions,2022-07-05,POSITIVE,2022
224,Only a couple of months into contract with Valda and while energy prices are hurting us all I can't fault their customer service so far. Call back today was swift and the lady on the phone was polite and very helpful with regards to my questions. Keep up the good work.,2022-07-05,POSITIVE,2022
225,"Spoke to Olivia Jupp at Valda Energy today regarding a new contract and I must say she was very pleasant, polite and professional.  Dealt with my query/contract very efficiently and nothing was too much trouble for her.  Explained things that needed explaining in an easy to understand manner.  Very pleased with the final result.",2022-07-04,POSITIVE,2022
226,"Great service , friendly staff",2022-07-03,POSITIVE,2022
227,Excellent support we been with Valda from few years and we are very happy. I have recommended by his company to all our friends,2022-07-02,POSITIVE,2022
228,"They are taking months to return my gas, which they took by mistake, back to my supplier. They promise emails and calls back that you will never get. Worse company ever... Thank you for breaking your promise Payge, you are just a liar like your company, they will be proud.",2022-07-02,POSITIVE,2022
229,"Olivia was so helpful. She couldn’t help me enough, she was so polite and really helped me when I was stuck. I got the impression she really knew what she was talking about and she didn’t try to fob me off. Thank you so much Olivia. A weight has been lifted!",2022-07-01,POSITIVE,2022
230,"Great service from daisy very helpful, and very quick responding. By far the best service ive had from any supplier. Thank you Daisy your a star x",2022-06-30,POSITIVE,2022
231,Please please please do not use this company. They are taking your money without even notifying you and they they taking as much as they want. Their service is absolutely rubbish. I urge everyone who are considering this company to think twice before using this company.,2022-06-30,NEGATIVE,2022
232,It's a fraud company. Don't trust them .They are doing fraud with people. When we ring they said we are not hearing you.Its completely fraud.,2022-06-30,NEGATIVE,2022
233,"Heidi is a brilliant member of the team always gets me an answer, very helpful and just a delight to deal with, thanks for all your help :)",2022-06-29,POSITIVE,2022
234,My meter hasn’t worked for 2 years! Cannot do a reading at all. Have been severely overcharged due to this. Have called and emailed constantly. Still isn’t fixed. Still being overcharged,2022-06-29,NEGATIVE,2022
235,Heidi was incredibly helpful with a difficult task that I had. She did everything she could to help resolve this issue.,2022-06-29,POSITIVE,2022
236,After problems with smart meter installation we got Nicola Spencer on the job. She spared no effort in seeking answers and information while keeping us fully updated on what was happening. Full marks Nicola for an excellent service,2022-06-29,POSITIVE,2022
237,"From start to switching to the new supplier (Valda), the staff are very helpful ,friendly and responsible，Abbie Stayt thanks again",2022-06-29,POSITIVE,2022
238,"Excellent service, clearly explained every process. No delays in getting through when calling and any emails were answered quickly too.",2022-06-28,POSITIVE,2022
239,"Many thanks to Olivia Jupp for arranging the renewal of our energy contracts, the process was very simple and Olivia was always on hand to answer any questions and provide updated quotes at short notice.",2022-06-28,POSITIVE,2022
240,Transfer of energy supply by Valda Energy was straight forward and the service provided first class. I would not hesitate to recommend to any of my friends.,2022-06-28,POSITIVE,2022
241,"heidi was very helpful and very fast service , highly recommended this company -",2022-06-27,POSITIVE,2022
242,"Hi I spoke with Adam who is on the customer team at Valda,as a result of his efforts,support and understanding,I’ll be a long time coustomer of Valda.That guy saved my biusness.Well done to you Adam.",2022-06-24,POSITIVE,2022
243,Spoke to Heidi who was very helpful on all queries presented. Prompt and thorough answers. Would recommend Valda Energy 100%. Keep up the good work.,2022-06-24,POSITIVE,2022
244,Would like to thank tayna today from customer service.  We have been having trouble with a diffrent company and she has fixed it today after 1 year. They was nothing  to much  truble and was on the phone to us every step of the way . Talking to us and helping us. Tanya thank you so much for your help and friendliness towards us. Xxx,2022-06-23,POSITIVE,2022
245,Olivia Jupp was who dealt with my account and she was absolute pleasure to deal with. Explained everything I needed to know and answered any questions I asked. Made me feel comfortable keeping my account with Valda as i was ready to switch to another supplier. Thanks again Olivia.,2022-06-22,POSITIVE,2022
246,"I would like to highly recommend Olivia Jupp who assisted my father over and above normal expectations to deliver a first class service for her prompt, courteous and professional attention helping my father with a new contract.  We are very grateful …",2022-06-16,POSITIVE,2022
247,Excellent customer service.,2022-06-16,POSITIVE,2022
248,Spent half an hour on the website chat only to be cut off ? No return call !,2022-06-16,NEGATIVE,2022
249,Very helpful and good at explaining any questions I had,2022-06-16,POSITIVE,2022
250,"Great service, easy to get through to a human being for assistance.",2022-06-16,POSITIVE,2022
251,I have been with Valda now for 13 months and I simply don't understand their invoicing and billing arrangements. I look at my 'bill' each month on-line and see the date the amount is due to go out and then nothing happens but money goes out at other times when I'm not expecting it to. Does anyone understand their system? I'd like to try and reconcile my account to check I'm not being overcharge but simply don't know where to start!,2022-06-16,NEGATIVE,2022
252,AVOID THIS COMPANY! We have had ongoing issues for 4 months since opening our new business they have incorrectly created 3 separate accounts for us with £600+ “debt” on each account! We get harassed with automated emails everyday saying we owe money even though we are upto date with our bills on our actual account. When I try and call to speak to someone it’s a 2+ hour wait and I get cut off they are ignoring my emails.I feel so stuck and exhausted from dealing with this company I have NEVER known a company to be so bad. My business partner is also heavily pregnant and should not have to deal with the stress this company has caused us.,2022-06-16,NEGATIVE,2022
253,"Terrible company ever,  they take money out of my account without notice ,they don't send Bill's,when I phoned them they admitted they overcharged me and would put the money back into my account which they didn't. Cowboy company,if you thinking of joining them stay away",2022-06-16,NEGATIVE,2022
254,"I called to set up a new contract, the call was answered by a person straight up, Olivia. She was friendly, helpful & informative and set me up the new contract easily. So refreshing not to have a machine answer giving you endless options!",2022-06-15,POSITIVE,2022
255,I was very happy with the service that I received from Valda and I found their website easy to use.   The only reason why I left them was that my broker found a cheaper company.,2022-06-14,NEGATIVE,2022
256,Valda energy has a good communication system with their customers unlike my previous supplier who might have been located on Mars.,2022-06-14,POSITIVE,2022
257,I.have been asking since November 21 for valda to come back to fix the signal issue which has been there since installation in.October. waste of time and energy!,2022-06-14,NEGATIVE,2022
258,So far so good. Very efficient company in all respects.,2022-06-13,POSITIVE,2022
259,"Terrible customer servic, only promise, guys dont use this provider!!!",2022-06-13,NEGATIVE,2022
260,IT'S VERRY GOOD,2022-06-13,POSITIVE,2022
261,Worst customer service. Can never get through to somebody. Emailed numerous people on separate occasions and hear nothing back,2022-06-13,NEGATIVE,2022
262,"Signed up with Valda energy last October 2021 and the transfer process, creating an online account and the subsequent meter readings collected, invoices generated and set up of direct debit payments has all been handled quickly and efficiently. i have no complaints and would therefore recommend them based on our experiences to date.",2022-06-13,POSITIVE,2022
263,You have got my meter readings wrong and have been waiting so long for my smart meter,2022-06-13,NEGATIVE,2022
264,"We have been with Valda a year now and I can’t praise them enough, fantastic",2022-06-13,POSITIVE,2022
265,Good  service,2022-06-13,POSITIVE,2022
266,"For a company that relies heavily on its app for allowing users to monitor energy usage, the app is pretty dismal.Customer care can be hard to get hold of, but have always been very helpful once I have got hold of them, the call back feature is especially useful",2022-06-13,POSITIVE,2022
267,"Abbie from Valda has been just brilliant.  She responds immediately to any query I might have and follows up with an excellent outcome.  I have dealt with many suppliers (both personally and for business) but can honestly say, Abbie (and Olivia too) have been THE best.",2022-06-13,POSITIVE,2022
268,I wish there was a minus star rating I could give this company. My foster son is just establishing a new business and he was contacted by a so-called broker for Valda. His grand opening is this coming Sunday and he is terrified because of the actions taken by this broker. He has English as a second language and they have sent him part (not all) of the recording of the discussion between the broker and him- we have listened to it and it’s quite clear that he doesn’t really understand what’s going on as he is signed up to an extortionate business contract. Having read a review below- this appears to be a repeating pattern of behaviour from this company. I have contacted the local MP and will be contacting OFGEM tomorrow. Disgraceful behaviour- unethical and discriminatory.,2022-06-10,NEGATIVE,2022
269,"We use Valda at one of our warehouses already and so when the time came, I called to change over from British Gas to Valda at another of our warehouses.Olivia was very professional and very helpful. She understood my concerns and needs and helped make the transition go smoothly for both gas and electric.Excellent service, thank you, Olivia :)",2022-06-10,POSITIVE,2022
270,"Absolutely Hopeless company. Take what they want from your account, when they want without notice. AVOID LIKE THE PLAGUE. Unless you like your business cash flow completely and utterly screwed up.",2022-06-09,NEGATIVE,2022
271,"Valda is the worst company I have ever dealt with. Absolutely no idea what is going on. Months to sort a problem and eventually I had to get the ombudsman involved. Keep very very clear of this lot. I have recordings of many many phone calls, each promising to fix the problem, then another person calls and has no idea what the problem is. Problem started in September 2021, it is not June 2022. Still having lots of grief, even after explaining to them that they are making me ill.",2022-06-08,NEGATIVE,2022
273,the chat this time was very eficient and din't have to wait long prior to connecting to Payge who was very eficient sadly have to give only 3 * as other sides of service needs lots of inmrovments,2022-05-31,NEGATIVE,2022
274,"Valda Energy are good and bad.  Their prices are fairly competitive, but their business model is to charge in advance on an estimated reading, normally fairly close, but not always.  'Phones used to be answered quickly by a person, but this has slipped a bit recently.I would probably open a new account with them, but am not quite such a satisfied customer as I used to be.",2022-05-29,NEGATIVE,2022
275,A thoroughly helpful courteous and professional response from Tom has saved my business  from what could have otherwise been an extremely stressful experience in the present  convoluted energy market . Well done Valda for having a practical and sensible  Customer Service Dept.,2022-05-26,POSITIVE,2022
276,"We recently took on Valda as our energy supplier for a new business.  They kept us informed all the way through the transfer form the previous supplier who seemed to use every possible means to delay or block the move.  We had a problem with the direct debit which caused some confusion over the first bill. Tom Maskell was very professional, polite and helpful in explaining what had happened and assuring me everything good. Tom was obviously knowledgeable about how the Valda processes and handover between suppliers work and sorted out issues I wasn't even aware of. He explained things very clearly and updated our readings to ensure the account was fully up to date. No rush and very patient. One of the best experiences I have had dealing with an energy supplier.",2022-05-26,POSITIVE,2022
277,"I’ve spoken to Olivia Jupp today to sort out me taking over the energy supply in my new small Business. After a worrying phone call from someone who was basically going to charge the earth and being my first business premises I didn’t realise; Olivia really reassured me that I didn’t have to worry they have the upper hand being the current providers and can put a stop on any other company trying to put me in to a contract and taking over the meter. Olivia has give me the best deal for my small retail business and even though I am in a 3 year contract it means I know what I’m paying from now on until the end of the 36 months. Olivia really put my mind at ease and told me all of the different ways I can pay and how often I will get billed from my smart meter. I am not in the premises yet so I am not entirely sure how the bills will pan out with regard to total price each month for me but, I know that going forward Valda are giving me a good deal at least.",2022-05-26,POSITIVE,2022
278,Payge was very helpful and informative. The lines were busy so requested a call back and I received a call 10 minutes later,2022-05-26,POSITIVE,2022
279,"I would like to thank Paygie Stear from your Customer Service Department for the hour spent trying to resolve my issue yesterday evening - whilst the ""duplicate meter points"" is yet to be sorted, Paygie was professional and demonstrated a real willingness to help - keep hold of Paygie, she's a good one!",2022-05-26,POSITIVE,2022
